Time ,Opposite Team,Toss,Batting Sequence,Match Score,Match_Stadium,Captain,Head Coach,No of Blowers,No of All Rounders,No of Batsman,Result
N,KKR,Lost,1,3,"MA Chidambaram Stadium, Chepauk, Chennai",Sachin Tendulkar,Shaun Pollock,4,1,5,Lost
N,KXIP,Won,1,3,OTHERS,Sachin Tendulkar,Shaun Pollock,3,2,5,Lost
N,KKR,Lost,2,3,OTHERS,Sachin Tendulkar,Shaun Pollock,3,3,4,Win
D/N,RCB,Lost,2,3,"M.Chinnaswamy Stadium, Bengaluru",Sachin Tendulkar,Shaun Pollock,3,1,6,Win
N,SRH,Won,1,2,"Eden Gardens, Kolkata",OTHERS,Shaun Pollock,4,2,4,Lost
D/N,KXIP,Won,1,3,OTHERS,Sachin Tendulkar,Shaun Pollock,4,2,4,Win
D/N,RR,Lost,1,2,OTHERS,Sachin Tendulkar,Shaun Pollock,3,2,5,Lost
D/N,DC,Won,1,2,OTHERS,Sachin Tendulkar,Shaun Pollock,2,2,6,Lost
D/N,RCB,Lost,1,2,OTHERS,Sachin Tendulkar,Lalchand Rajput,3,1,6,Lost
D/N,CSK,Won,1,2,OTHERS,Sachin Tendulkar,Lalchand Rajput,4,3,3,Lost
D/N,SRH,Lost,1,2,OTHERS,Sachin Tendulkar,Lalchand Rajput,2,2,6,Win
N,RR,Won,2,4,"MA Chidambaram Stadium, Chepauk, Chennai",Harbhajan Singh,Lalchand Rajput,2,2,6,Lost
N,CSK,Won,2,3,OTHERS,Harbhajan Singh,Lalchand Rajput,2,2,6,Lost
N,KKR,Lost,1,2,"Eden Gardens, Kolkata",OTHERS,Lalchand Rajput,4,3,3,Win
N,SRH,Lost,2,3,OTHERS,Sachin Tendulkar,Lalchand Rajput,2,1,7,Win
N,KXIP,Lost,2,3,"Arun Jaitley Stadium, Delhi",Sachin Tendulkar,Lalchand Rajput,3,3,4,Lost
N,DC,Lost,2,2,OTHERS,Sachin Tendulkar,Lalchand Rajput,4,3,3,Lost
D/N,RR,Won,2,2,"M.Chinnaswamy Stadium, Bengaluru",Sachin Tendulkar,Lalchand Rajput,4,0,6,Win
